               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080471,            0.090313,            0.037373,             0.20567,             0.50057,             0.27195,             0.10037,             0.05524,            0.074357,            0.034559,            0.003329,            0.003329,            0.070039
                   1,            0.060889,            0.072897,            0.024523,             0.39218,               0.537,             0.44358,             0.18487,            0.050157,            0.070976,            0.028495,           0.0066609,           0.0066609,            0.040037
                   2,            0.058341,            0.080655,            0.020384,             0.58939,              0.4556,             0.47839,             0.17956,            0.053064,            0.074078,            0.017412,           0.0099868,           0.0099868,             0.01003
                   3,            0.053633,            0.077819,            0.016406,              0.6624,             0.50869,             0.56387,             0.24105,            0.049197,            0.075181,            0.014859,             0.00998,             0.00998,             0.00998
                   4,            0.049489,            0.080231,            0.014403,             0.75058,             0.54739,             0.62315,             0.29077,            0.045613,            0.072919,            0.013859,             0.00998,             0.00998,             0.00998
                   5,            0.047466,            0.077333,             0.01327,              0.6655,             0.60193,             0.62709,             0.29034,            0.045862,            0.072658,            0.013901,           0.0099645,           0.0099645,           0.0099645
                   6,            0.045934,            0.075981,             0.01221,             0.74568,             0.60103,             0.64475,             0.30413,            0.044858,            0.072427,            0.012551,           0.0099446,           0.0099446,           0.0099446
                   7,            0.044658,            0.072827,             0.01181,             0.78203,             0.60447,              0.6698,             0.32151,            0.043476,            0.073409,            0.012504,           0.0099203,           0.0099203,           0.0099203
                   8,            0.043892,            0.072287,            0.010916,             0.77714,             0.61846,             0.66525,             0.32677,             0.04306,            0.071159,            0.012122,           0.0098916,           0.0098916,           0.0098916
                   9,            0.044091,             0.07643,            0.010633,             0.71908,             0.64444,             0.67303,             0.33106,            0.042572,            0.071684,            0.011855,           0.0098586,           0.0098586,           0.0098586
                  10,            0.042879,            0.076996,            0.010345,             0.74917,             0.63555,             0.66847,             0.33115,            0.042418,            0.071739,            0.011963,           0.0098213,           0.0098213,           0.0098213
                  11,            0.042447,            0.071745,            0.010153,             0.76558,             0.62462,             0.68135,              0.3383,            0.042352,            0.070589,             0.01212,           0.0097798,           0.0097798,           0.0097798
                  12,            0.042393,            0.071779,           0.0098824,             0.78818,             0.59048,             0.67273,             0.33175,            0.042722,            0.070728,            0.012255,            0.009734,            0.009734,            0.009734
                  13,            0.041744,            0.070836,           0.0099602,             0.77691,             0.60962,             0.67295,             0.32676,            0.042639,            0.070283,             0.01237,            0.009684,            0.009684,            0.009684
                  14,            0.041603,            0.074064,           0.0098484,             0.79645,             0.62772,             0.69616,             0.34248,            0.042279,            0.070487,            0.011633,           0.0096299,           0.0096299,           0.0096299
                  15,            0.040992,            0.069402,           0.0091246,              0.7696,             0.64979,             0.69904,             0.34927,            0.041445,            0.070388,            0.011578,           0.0095717,           0.0095717,           0.0095717
                  16,            0.041318,            0.070823,           0.0094875,             0.81254,             0.62463,             0.70124,             0.35267,            0.041217,            0.069653,            0.011449,           0.0095095,           0.0095095,           0.0095095
                  17,            0.041159,            0.071493,            0.008877,             0.83717,             0.60902,             0.69917,              0.3514,            0.041478,            0.070428,            0.011371,           0.0094434,           0.0094434,           0.0094434
                  18,            0.040996,            0.071719,           0.0086398,             0.79117,             0.63972,             0.69808,             0.35229,            0.041104,            0.070679,            0.010615,           0.0093733,           0.0093733,           0.0093733
                  19,              0.0403,             0.07091,           0.0083839,             0.81873,             0.66157,             0.71808,             0.36326,            0.040933,            0.069607,            0.011371,           0.0092995,           0.0092995,           0.0092995
                  20,            0.039851,            0.070542,           0.0082183,             0.77966,             0.65406,             0.70225,             0.34565,            0.041211,            0.069673,            0.011522,           0.0092219,           0.0092219,           0.0092219
                  21,            0.040136,            0.071122,           0.0085006,             0.82182,             0.64333,             0.70458,             0.35526,            0.041426,            0.070481,            0.010836,           0.0091406,           0.0091406,           0.0091406
                  22,            0.040444,            0.068384,           0.0082699,             0.80359,             0.65931,             0.70666,               0.358,            0.040775,            0.069496,            0.010634,           0.0090557,           0.0090557,           0.0090557
                  23,            0.039521,            0.069809,           0.0078673,             0.85607,             0.63756,             0.72071,             0.36368,            0.041012,             0.06939,            0.010538,           0.0089673,           0.0089673,           0.0089673
                  24,            0.039227,            0.068176,           0.0083807,             0.81659,             0.66286,             0.72227,             0.36772,            0.040672,            0.069468,            0.010274,           0.0088755,           0.0088755,           0.0088755
                  25,            0.039092,            0.068364,            0.007845,             0.80883,             0.66151,             0.72148,             0.36319,            0.040938,            0.069806,            0.010834,           0.0087804,           0.0087804,           0.0087804
                  26,             0.03972,             0.07294,           0.0075863,             0.83476,             0.64395,             0.71201,             0.36218,            0.040626,            0.069984,            0.010762,            0.008682,            0.008682,            0.008682
                  27,            0.039369,            0.069732,           0.0078485,             0.80018,             0.66094,             0.70825,             0.36292,            0.040673,            0.069596,            0.010714,           0.0085805,           0.0085805,           0.0085805
                  28,             0.03863,            0.067844,           0.0075663,             0.78446,              0.6877,             0.72019,             0.36403,            0.040666,            0.070035,            0.010893,           0.0084759,           0.0084759,           0.0084759
                  29,            0.038717,            0.068665,           0.0074017,             0.80766,             0.65828,             0.71673,                0.37,            0.040466,            0.070152,             0.01063,           0.0083684,           0.0083684,           0.0083684
                  30,            0.038654,            0.071125,           0.0073339,             0.80176,             0.66706,             0.72562,             0.37429,            0.040511,            0.069188,            0.010742,           0.0082581,           0.0082581,           0.0082581
                  31,            0.038314,            0.067248,            0.007272,             0.82497,              0.6604,             0.72398,             0.36994,            0.040451,            0.069297,            0.010818,            0.008145,            0.008145,            0.008145
                  32,            0.038575,            0.068932,           0.0071048,             0.76141,             0.67776,             0.72244,             0.37012,            0.040477,            0.070436,            0.010614,           0.0080294,           0.0080294,           0.0080294
                  33,            0.038309,            0.069311,           0.0071684,              0.8409,             0.67077,             0.73813,             0.37583,            0.040301,            0.069019,            0.010484,           0.0079112,           0.0079112,           0.0079112
                  34,            0.037796,            0.063566,           0.0068722,             0.79185,             0.67801,             0.72124,              0.3665,            0.040442,            0.069017,             0.01093,           0.0077907,           0.0077907,           0.0077907
                  35,            0.037881,            0.069665,           0.0067406,             0.81697,             0.66354,             0.72743,             0.37862,             0.04028,            0.069998,            0.011047,           0.0076679,           0.0076679,           0.0076679
